1225022001, bawosaloo
1225022002, imana
1225022003, tuwa tuwa
1225022004, kafo kafo
1225022005, bawasawa
1225022006, pulau bogi
1225022007, halamona
1225022008, hanofa
1225022009, lahawa
1225022010, hinako
1225022011, sineneeto
1225022012, balowondrate
1225022013, hilimberuanaa
1225022014, lahusa
1225022015, ombolata
1225022016, tetehosi
1225022017, togimbogi
1225022018, sisobandrao
1225022019, fadoro
1225022020, tugala gawu
1225022021, sirombu
1225022022, togideu
1225022023, tugala
1225022024, orahili
1225022025, gunungcahaya
