1206042001, kutakepar
1206042002, ajijulu
1206042004, singa
1206042007, ajijahe
1206042008, bunuraya
1206042010, kubusimbelang
1206042011, tigapanah
1206042012, suka
1206042014, kacinambun
1206042015, kutajulu
1206042016, bertah
1206042017, manukmulia
1206042018, lauriman
1206042019, sukadame
1206042020, mulawari
1206042023, sukamaju
1206042024, kutambelin
1206042025, kutabale
1206042026, leparsamura
1206042027, seberaya
1206042028, ajimbelang
1206042029, ajibuhara
1206042030, lambar
1206042031, salit
1206042032, suka mbayak
1206042033, suka sipilihen
