1107032001, dayah tuha
1107032002, dayah baroh
1107032003, bintang hu
1107032004, pulo tukok
1107032005, pulo bungong
1107032006, geunteng barat
1107032007, geunteng timur
1107032008, calong cut
1107032009, geulumpang lhee
1107032010, aron
1107032011, tuha
1107032012, dayah
1107032013, mesjid
1107032014, meucat
1107032015, teupin raya
1107032016, rungkom
1107032017, mee
1107032018, pulo pande
1107032019, seulatan
1107032020, alue lada
1107032021, teupin jeue
1107032022, neuheun
1107032023, crueng
1107032024, kareung
1107032025, kulee
1107032026, kulam
1107032027, awee
1107032028, pasi beurandeh
